Sample,Replicate,Site,Treatment,Month,Temp,PAR,FvFm,ETR,Yield,qP,qN
Vau_L_02,2,List,Field,July,18.73,270,0.543,59,0.5,0.859,0.086
Vau_L_02,2,List,Field,July,18.73,420,0.543,95.4,0.527,0.906,0.086
Vau_L_02,2,List,Field,July,18.73,600,0.543,23.3,0.5,0.898,0.145
Vau_L_02,2,List,Field,July,18.73,970,0.543,219.2,0.532,0.935,0.101
Vau_L_02,2,List,Field,July,18.73,1410,0.543,255.8,0.429,0.763,0.157
Vau_L_02,2,List,Field,July,18.73,2110,0.543,400.9,0.45,0.865,0.235
Vau_L_02,2,List,Field,July,18.73,3210,NA,NA,NA,NA,NA
Vau_L_03,3,List,Field,July,18.73,11,0.52,2.9,0.622,1,0.024
Vau_L_03,3,List,Field,July,18.73,60,0.52,15.6,0.618,1,0
Vau_L_03,3,List,Field,July,18.73,100,0.52,20.4,0.486,0.878,0.024
Vau_L_03,3,List,Field,July,18.73,170,0.52,40.5,0.568,1,0.024
Vau_L_03,3,List,Field,July,18.73,270,0.52,58.3,0.514,0.949,0.071
Vau_L_03,3,List,Field,July,18.73,420,0.52,83.2,0.471,0.868,0.116
Vau_L_03,3,List,Field,July,18.73,600,0.52,142.9,0.567,1,0.19
Vau_L_03,3,List,Field,July,18.73,970,0.52,203.7,0.5,0.971,0.209
Vau_L_03,3,List,Field,July,18.73,1410,0.52,207.3,0.35,0.7,0.333
Vau_L_03,3,List,Field,July,18.73,2110,0.52,379.8,0.429,0.923,0.422
Vau_L_03,3,List,Field,July,18.73,3210,0.52,363,0.269,0.583,0.489
Vau_L_04,4,List,Field,July,18.73,11,0.542,2.7,0.593,1,0.029
Vau_L_04,4,List,Field,July,18.73,60,0.542,14.4,0.573,1,0.043
Vau_L_04,4,List,Field,July,18.73,100,0.542,24.6,0.585,1,0.029
Vau_L_04,4,List,Field,July,18.73,170,0.542,39.3,0.551,0.942,0.028
Vau_L_04,4,List,Field,July,18.73,270,0.542,60.7,0.535,0.984,0.088
Vau_L_04,4,List,Field,July,18.73,420,0.542,89.8,0.509,0.933,0.143
Vau_L_04,4,List,Field,July,18.73,600,0.542,120.2,0.477,0.881,0.157
Vau_L_04,4,List,Field,July,18.73,970,0.542,163,0.4,0.8,0.286
Vau_L_04,4,List,Field,July,18.73,1410,0.542,223.7,0.378,0.791,0.411
Vau_L_04,4,List,Field,July,18.73,2110,0.542,227.2,0.256,0.606,0.56
Vau_L_04,4,List,Field,July,18.73,3210,0.542,347.3,0.258,0.773,0.711
Vau_L_05,5,List,Field,July,18.73,11,0.545,2.6,0.573,1000,0
Vau_L_05,5,List,Field,July,18.73,60,0.545,12.5,0.495,0.9,0.016
Vau_L_05,5,List,Field,July,18.73,100,0.545,22,0.523,0.966,0.017
Vau_L_05,5,List,Field,July,18.73,170,0.545,38.5,0.539,1000,0.129
Vau_L_05,5,List,Field,July,18.73,270,0.545,57.8,0.51,0.963,0.129
Vau_L_05,5,List,Field,July,18.73,420,0.545,64.8,0.367,0.692,0.188
Vau_L_05,5,List,Field,July,18.73,600,0.545,111.4,0.442,0.84,0.231
Vau_L_05,5,List,Field,July,18.73,970,0.545,158.4,0.389,0.778,0.308
Vau_L_05,5,List,Field,July,18.73,1410,0.545,242.6,0.41,0.872,0.409
Vau_L_05,5,List,Field,July,18.73,2110,0.545,271.8,0.307,0.676,0.507
Vau_L_05,5,List,Field,July,18.73,3210,0.545,402.4,0.299,0.8,0.632
Vau_L_06,6,List,Field,July,18.73,11,0.54,2.4,0.523,0.957,0.021
Vau_L_06,6,List,Field,July,18.73,60,0.54,13.6,0.54,0.979,0
Vau_L_06,6,List,Field,July,18.73,100,0.54,21,0.5,0.88,0
Vau_L_06,6,List,Field,July,18.73,170,0.54,42,0.588,1000,0.042
Vau_L_06,6,List,Field,July,18.73,270,0.54,59.3,0.523,0.939,0
Vau_L_06,6,List,Field,July,18.73,420,0.54,78.6,0.446,0.841,0.083
Vau_L_06,6,List,Field,July,18.73,600,0.54,119.9,0.476,0.907,0.104
Vau_L_06,6,List,Field,July,18.73,970,0.54,173,0.425,0.861,0.28
Vau_L_06,6,List,Field,July,18.73,1410,0.54,184.5,0.311,0.731,0.5
Vau_L_06,6,List,Field,July,18.73,2110,0.54,241.7,0.273,0.714,0.604
Vau_L_06,6,List,Field,July,18.73,3210,0.54,224.7,0.167,0.5,0.709
Vau_L_07,7,List,Field,July,17.38,11,0.775,3.6,0.781,0.993,0.018
Vau_L_07,7,List,Field,July,17.38,60,0.775,19.7,0.782,0.996,0.025
Vau_L_07,7,List,Field,July,17.38,100,0.775,32.1,0.765,0.981,0.039
Vau_L_07,7,List,Field,July,17.38,170,0.775,55.1,0.772,0.992,0.05
Vau_L_07,7,List,Field,July,17.38,270,0.775,85.5,0.754,0.962,0.067
Vau_L_07,7,List,Field,July,17.38,420,0.775,132,0.748,0.969,0.093
Vau_L_07,7,List,Field,July,17.38,600,0.775,173.5,0.689,0.901,0.135
Vau_L_07,7,List,Field,July,17.38,970,0.775,252.7,0.62,0.84,0.246
Vau_L_07,7,List,Field,July,17.38,1410,0.775,337.7,0.57,0.822,0.426
Vau_L_07,7,List,Field,July,17.38,2110,0.775,409.7,0.462,0.729,0.59
Vau_L_07,7,List,Field,July,17.38,3210,0.775,437.3,0.324,0.585,0.717
Vau_L_08,8,List,Field,July,17.38,11,0.73,3.5,0.767,1,0.043
Vau_L_08,8,List,Field,July,17.38,60,0.73,18.7,0.74,0.994,0.049
Vau_L_08,8,List,Field,July,17.38,100,0.73,30.5,0.726,0.971,0.054
Vau_L_08,8,List,Field,July,17.38,170,0.73,51.3,0.719,0.971,0.071
Vau_L_08,8,List,Field,July,17.38,270,0.73,76.3,0.673,0.915,0.114
Vau_L_08,8,List,Field,July,17.38,420,0.73,114.9,0.651,0.892,0.156
Vau_L_08,8,List,Field,July,17.38,600,0.73,162.4,0.645,0.889,0.177
Vau_L_08,8,List,Field,July,17.38,970,0.73,242.8,0.596,0.843,0.247
Vau_L_08,8,List,Field,July,17.38,1410,0.73,317.6,0.536,0.787,0.348
Vau_L_08,8,List,Field,July,17.38,2110,0.73,376.5,0.425,0.684,0.489
Vau_L_08,8,List,Field,July,17.38,3210,0.73,392.8,0.291,0.514,0.619
Vau_L_09,9,List,Field,July,17.38,11,0.779,3.7,0.801,1,0.024
Vau_L_09,9,List,Field,July,17.38,60,0.779,20,0.793,1,0.039
Vau_L_09,9,List,Field,July,17.38,100,0.779,32.8,0.782,1,0.067
Vau_L_09,9,List,Field,July,17.38,170,0.779,56.1,0.786,1,0.077
Vau_L_09,9,List,Field,July,17.38,270,0.779,86.6,0.764,0.984,0.099
Vau_L_09,9,List,Field,July,17.38,420,0.779,128.5,0.728,0.944,0.12
Vau_L_09,9,List,Field,July,17.38,600,0.779,175.8,0.697,0.912,0.155
Vau_L_09,9,List,Field,July,17.38,970,0.779,255.2,0.626,0.846,0.27
Vau_L_09,9,List,Field,July,17.38,1410,0.779,314.1,0.53,0.772,0.448
Vau_L_09,9,List,Field,July,17.38,2110,0.779,396.5,0.447,0.697,0.579
Vau_L_09,9,List,Field,July,17.38,3210,0.779,466.7,0.346,0.607,0.694
Vau_L_10,10,List,Field,July,17.38,11,0.768,3.6,0.782,1,0.038
Vau_L_10,10,List,Field,July,17.38,60,0.768,19.5,0.773,0.996,0.023
Vau_L_10,10,List,Field,July,17.38,100,0.768,32.1,0.763,0.988,0.057
Vau_L_10,10,List,Field,July,17.38,170,0.768,53.7,0.752,0.972,0.053
Vau_L_10,10,List,Field,July,17.38,270,0.768,85.1,0.751,0.979,0.087
Vau_L_10,10,List,Field,July,17.38,420,0.768,125.1,0.709,0.927,0.114
Vau_L_10,10,List,Field,July,17.38,600,0.768,173.4,0.688,0.915,0.145
Vau_L_10,10,List,Field,July,17.38,970,0.768,259.4,0.637,0.872,0.261
Vau_L_10,10,List,Field,July,17.38,1410,0.768,336.5,0.568,0.822,0.433
Vau_L_10,10,List,Field,July,17.38,2110,0.768,401.5,0.453,0.713,0.574
Vau_L_10,10,List,Field,July,17.38,3210,0.768,424.8,0.315,0.561,0.699
Vau_L_11,11,List,Field,July,17.38,11,0.693,3.5,0.753,1,0.063
Vau_L_11,11,List,Field,July,17.38,60,0.693,17.8,0.707,0.99,0.054
Vau_L_11,11,List,Field,July,17.38,100,0.693,29,0.69,0.962,0.071
Vau_L_11,11,List,Field,July,17.38,170,0.693,50.4,0.706,1,0.091
Vau_L_11,11,List,Field,July,17.38,270,0.693,72.9,0.643,0.928,0.118
Vau_L_11,11,List,Field,July,17.38,420,0.693,119.7,0.679,0.979,0.144
Vau_L_11,11,List,Field,July,17.38,600,0.693,164.8,0.654,0.946,0.179
Vau_L_11,11,List,Field,July,17.38,970,0.693,223.1,0.548,0.821,0.243
Vau_L_11,11,List,Field,July,17.38,1410,0.693,293.6,0.496,0.763,0.321
Vau_L_11,11,List,Field,July,17.38,2110,0.693,412.4,0.465,0.758,0.456
Vau_L_11,11,List,Field,July,17.38,3210,0.693,520.9,0.386,0.68,0.565
Vau_L_12,12,List,Field,July,17.38,11,0.754,3.6,0.778,1,0.029
Vau_L_12,12,List,Field,July,17.38,60,0.754,19.2,0.762,0.979,0
Vau_L_12,12,List,Field,July,17.38,100,0.754,31.9,0.76,0.996,0.004
Vau_L_12,12,List,Field,July,17.38,170,0.754,53.3,0.747,0.974,0.021
Vau_L_12,12,List,Field,July,17.38,270,0.754,85.5,0.754,0.987,0.05
Vau_L_12,12,List,Field,July,17.38,420,0.754,181.1,0.719,0.954,0.088
Vau_L_12,12,List,Field,July,17.38,600,0.754,173.4,0.688,0.915,0.113
Vau_L_12,12,List,Field,July,17.38,970,0.754,250.8,0.616,0.844,0.225
Vau_L_12,12,List,Field,July,17.38,1410,0.754,321,0.542,0.795,0.394
Vau_L_12,12,List,Field,July,17.38,2110,0.754,376.1,0.424,0.676,0.559
Vau_L_12,12,List,Field,July,17.38,3210,0.754,363.3,0.27,0.494,0.686
Vau_L_13,1,List,Field,September,13.56,11,0.729,3.4,0.74,0.991,0.009
Vau_L_13,1,List,Field,September,13.56,60,0.729,18.7,0.744,0.991,0
Vau_L_13,1,List,Field,September,13.56,100,0.729,31.6,0.753,0.992,0
Vau_L_13,1,List,Field,September,13.56,170,0.729,50.7,0.71,0.94,0
Vau_L_13,1,List,Field,September,13.56,270,0.729,83.4,0.735,1,0.035
Vau_L_13,1,List,Field,September,13.56,420,0.729,120.8,0.685,0.926,0.077
Vau_L_13,1,List,Field,September,13.56,600,0.729,167.4,0.664,0.903,0.127
Vau_L_13,1,List,Field,September,13.56,970,0.729,255,0.626,0.882,0.205
Vau_L_13,1,List,Field,September,13.56,1410,0.729,347.2,0.586,0.861,0.331
Vau_L_13,1,List,Field,September,13.56,2110,0.729,387.7,0.437,0.7,0.496
Vau_L_13,1,List,Field,September,13.56,3210,0.729,565.9,0.42,0.723,0.612
Vau_L_14,2,List,Field,September,13.56,11,0.679,3,0.657,0.947,0.013
Vau_L_14,2,List,Field,September,13.56,60,0.679,17.5,0.694,1,0
Vau_L_14,2,List,Field,September,13.56,100,0.679,28.8,0.685,0.957,0
Vau_L_14,2,List,Field,September,13.56,170,0.679,49.4,0.692,0.957,0
Vau_L_14,2,List,Field,September,13.56,270,0.679,78.2,0.69,0.957,0
Vau_L_14,2,List,Field,September,13.56,420,0.679,117.6,0.667,0.932,0
Vau_L_14,2,List,Field,September,13.56,600,0.679,157.5,0.625,0.882,0
Vau_L_14,2,List,Field,September,13.56,970,0.679,225.9,0.555,0.824,0
Vau_L_14,2,List,Field,September,13.56,1410,0.679,292.9,0.495,0.793,0.216
Vau_L_14,2,List,Field,September,13.56,2110,0.679,374.9,0.423,0.75,0.413
Vau_L_14,2,List,Field,September,13.56,3210,0.679,449.4,0.333,0.688,0.573
Vau_L_15,3,List,Field,September,13.56,11,0.679,3.2,0.702,0.989,0
Vau_L_15,3,List,Field,September,13.56,60,0.679,17.7,0.704,0.969,0
Vau_L_15,3,List,Field,September,13.56,100,0.679,31.1,0.741,1,0
Vau_L_15,3,List,Field,September,13.56,170,0.679,51.1,0.715,0.989,0.011
Vau_L_15,3,List,Field,September,13.56,270,0.679,79.5,0.701,0.989,0.043
Vau_L_15,3,List,Field,September,13.56,420,0.679,116.7,0.661,0.943,0.074
Vau_L_15,3,List,Field,September,13.56,600,0.679,158.8,0.63,0.915,0.128
Vau_L_15,3,List,Field,September,13.56,970,0.679,214.8,0.527,0.795,0.223
Vau_L_15,3,List,Field,September,13.56,1410,0.679,250.3,0.423,0.661,0.354
Vau_L_15,3,List,Field,September,13.56,2110,0.679,341.7,0.386,0.667,0.5
Vau_L_15,3,List,Field,September,13.56,3210,0.679,241.5,0.179,0.364,0.66
Vau_L_16,4,List,Field,September,13.56,11,0.712,3.3,0.712,0.989,0
Vau_L_16,4,List,Field,September,13.56,60,0.712,18.3,0.727,1,0
Vau_L_16,4,List,Field,September,13.56,100,0.712,31.2,0.742,1,0
Vau_L_16,4,List,Field,September,13.56,170,0.712,52.6,0.736,1,0
Vau_L_16,4,List,Field,September,13.56,270,0.712,79.8,0.704,0.989,0
Vau_L_16,4,List,Field,September,13.56,420,0.712,117.1,0.664,0.92,0.033
Vau_L_16,4,List,Field,September,13.56,600,0.712,152.9,0.607,0.877,0.09
Vau_L_16,4,List,Field,September,13.56,970,0.712,234.4,0.575,0.859,0.211
Vau_L_16,4,List,Field,September,13.56,1410,0.712,327.6,0.553,0.867,0.341
Vau_L_16,4,List,Field,September,13.56,2110,0.712,295.4,0.333,0.591,0.516
Vau_L_16,4,List,Field,September,13.56,3210,0.712,260.9,0.194,0.4,0.677
Vau_L_17,5,List,Field,September,13.56,11,0.675,3.5,0.748,1,0.086
Vau_L_17,5,List,Field,September,13.56,60,0.675,18.3,0.725,1,0
Vau_L_17,5,List,Field,September,13.56,100,0.675,29,0.69,0.967,0
Vau_L_17,5,List,Field,September,13.56,170,0.675,50.3,0.704,0.967,0
Vau_L_17,5,List,Field,September,13.56,270,0.675,78.1,0.689,0.955,0
Vau_L_17,5,List,Field,September,13.56,420,0.675,115.6,0.655,0.918,0
Vau_L_17,5,List,Field,September,13.56,600,0.675,152.5,0.605,0.863,0
Vau_L_17,5,List,Field,September,13.56,970,0.675,239,0.587,0.871,0.125
Vau_L_17,5,List,Field,September,13.56,1410,0.675,239.5,0.404,0.667,0.316
Vau_L_17,5,List,Field,September,13.56,2110,0.675,287.4,0.324,0.6,0.5
Vau_L_17,5,List,Field,September,13.56,3210,0.675,NA,NA,NA,NA
